,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,salary
0,Jonas Valanciunas,NOP ,29,26,7,19,31.1,18.5,7.0,13.8,51.1,1.2,2.5,46.2,3.3,4.0,82.7,3.3,8.7,12.0,2.4,2.0,0.6,0.9,3.2,39.0,19,0,-4.1,14000000.0
1,Nickeil Alexander-Walker,NOP ,23,26,7,19,28.8,13.5,5.0,13.8,36.2,2.0,6.8,30.1,1.5,1.9,78.0,1.0,2.9,4.0,2.7,1.5,0.9,0.4,1.7,24.9,2,0,-4.0,3261480.0
2,Domantas Sabonis,IND ,25,25,9,16,34.0,17.4,6.7,11.8,56.4,0.8,2.7,28.4,3.2,4.4,74.3,3.2,8.9,12.1,4.0,3.2,1.1,0.3,3.4,38.9,18,1,2.3,19800000.0
3,Gordon Hayward,CHA ,31,25,14,11,33.8,17.3,6.0,13.2,45.6,1.8,4.4,39.6,3.4,4.0,85.1,0.8,4.0,4.9,3.4,1.9,0.8,0.6,1.8,30.7,1,0,-0.9,29925000.0
4,Kelly Oubre Jr.,CHA ,25,25,14,11,27.8,15.8,5.9,12.8,46.1,2.8,7.2,38.9,1.2,2.0,63.3,1.2,2.7,3.9,1.0,0.9,0.9,0.3,2.6,24.5,0,0,-0.5,12000000.0
5,Miles Bridges,CHA ,23,25,14,11,36.3,20.4,7.5,16.1,46.7,2.2,6.7,33.5,3.1,4.0,77.0,1.3,6.0,7.3,3.2,1.8,1.3,1.0,2.7,38.8,3,0,2.2,5421493.0
6,Torrey Craig,IND ,30,25,9,16,15.7,5.4,2.1,4.2,49.1,0.6,2.0,27.5,0.7,0.9,77.3,1.2,2.1,3.3,0.9,0.6,0.4,0.3,1.6,12.2,1,0,-1.8,4878049.0
7,Trey Murphy III,NOP ,21,25,6,19,14.9,4.8,1.6,4.3,37.0,1.2,3.2,39.2,0.4,0.4,90.0,0.7,1.7,2.4,0.6,0.4,0.3,0.2,1.3,9.6,0,0,-1.8,3053760.0
8,Buddy Hield,SAC ,28,24,10,14,28.7,15.9,5.3,13.6,38.8,3.6,10.0,36.4,1.7,2.0,83.7,0.8,3.5,4.3,2.3,1.6,0.7,0.3,2.1,25.5,0,0,-1.9,22768890.0
9,CJ McCollum,POR ,30,24,11,13,35.3,20.6,8.0,18.8,42.4,3.2,8.2,39.3,1.5,2.1,70.0,1.1,3.0,4.1,4.5,1.9,1.1,0.7,2.1,35.7,0,0,-2.5,30864198.0
